# species: Drosophila melanogaster
# support: EXP, IMP, HMP, HEP, IDA, IGI, HGI, IPI, IEP, HDA
# associations retrieved on: 2019-04-24 10:40:28-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.fb.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:16-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: flybasecgid_gene
#   coverage: 99.4%
# size of "genespace": 12880
# number of attributes: 8227
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000001	mitochondrion inheritance	CG42551 CG8862
GO:0044425	membrane part	CG10001 CG10006 CG10047 CG10101 CG10181 CG10233 CG10236 CG10295 CG10379 CG10443 CG10540 CG10545 CG10620 CG10626 CG10633 CG10698 CG10701 CG10706 CG10759 CG10823 CG10933 CG10952 CG10978 CG11020 CG11136 CG11144 CG1115 CG11173 CG11325 CG11340 CG11348 CG11411 CG11415 CG1147 CG11561 CG11579 CG11735 CG12001 CG12008 CG12021 CG12193 CG12199 CG12230 CG12249 CG1232 CG12348 CG12370 CG12414 CG12526 CG12532 CG12753 CG12770 CG13139 CG13225 CG13636 CG13702 CG13758 CG13772 CG14021 CG14156 CG14162 CG14226 CG14228 CG14396 CG14430 CG1448 CG14521 CG14575 CG14585 CG14593 CG1467 CG14723 CG14804 CG15013 CG15078 CG15274 CG15302 CG15444 CG1560 CG15618 CG15811 CG15860 CG1594 CG1599 CG1615 CG16755 CG16766 CG16857 CG16961 CG17046 CG17060 CG17142 CG17248 CG1725 CG17332 CG17348 CG17369 CG1744 CG17584 CG1762 CG17697 CG1771 CG17723 CG17759 CG17853 CG17867 CG17868 CG1794 CG17947 CG17952 CG18028 CG18039 CG18069 CG18085 CG18112 CG18214 CG18243 CG18250 CG18314 CG18345 CG1854 CG18617 CG1862 CG18660 CG18859 CG1975 CG1977 CG2095 CG2114 CG2196 CG2204 CG2212 CG2245 CG2248 CG2302 CG2411 CG2507 CG2520 CG2522 CG2671 CG2699 CG2715 CG2835 CG2855 CG2872 CG2902 CG2969 CG2999 CG30084 CG30106 CG30361 CG30388 CG3039 CG30404 CG3093 CG31009 CG31116 CG31136 CG31201 CG31519 CG3161 CG31860 CG32018 CG32057 CG3206 CG32146 CG32350 CG32380 CG32538 CG32556 CG32703 CG32704 CG32717 CG32791 CG32843 CG32975 CG3299 CG33094 CG33135 CG33198 CG33202 CG33214 CG33304 CG33344 CG33472 CG33513 CG3352 CG3380 CG3382 CG33976 CG34063 CG34067 CG34157 CG34381 CG3478 CG3504 CG3569 CG3595 CG3619 CG3620 CG3665 CG3682 CG3694 CG3722 CG3725 CG3762 CG3811 CG3936 CG3966 CG3979 CG3994 CG4032 CG40452 CG4114 CG4123 CG4125 CG4128 CG4141 CG42244 CG4226 CG42301 CG4231 CG42338 CG42447 CG42508 CG4257 CG4260 CG42601 CG42611 CG42636 CG42701 CG42734 CG42748 CG42768 CG42783 CG42840 CG43140 CG43224 CG4334 CG43368 CG43388 CG43398 CG43443 CG4356 CG4370 CG43745 CG43782 CG44012 CG44099 CG44159 CG44240 CG4432 CG44328 CG4437 CG44402 CG4453 CG44835 CG45090 CG4535 CG4550 CG4590 CG4713 CG4722 CG4790 CG4894 CG5055 CG5125 CG5127 CG5130 CG5373 CG5375 CG5429 CG5490 CG5507 CG5540 CG5582 CG5610 CG5670 CG5723 CG5751 CG5753 CG5802 CG5847 CG5855 CG5864 CG5870 CG5884 CG5996 CG6056 CG6098 CG6127 CG6151 CG6173 CG6210 CG6264 CG6359 CG6383 CG6417 CG6437 CG6445 CG6515 CG6531 CG6668 CG6672 CG6699 CG6706 CG6741 CG6757 CG6817 CG6844 CG6895 CG6898 CG6899 CG6919 CG6936 CG6948 CG6981 CG6986 CG6992 CG7007 CG7012 CG7057 CG7192 CG7224 CG7234 CG7395 CG7411 CG7431 CG7449 CG7452 CG7454 CG7485 CG7586 CG7625 CG7662 CG7665 CG7713 CG7749 CG7793 CG7816 CG7875 CG7887 CG7891 CG7897 CG7904 CG7961 CG8029 CG8048 CG8095 CG8121 CG8186 CG8201 CG8210 CG8224 CG8261 CG8271 CG8279 CG8285 CG8380 CG8394 CG8399 CG8422 CG8443 CG8522 CG8546 CG8595 CG8669 CG8770 CG8784 CG8795 CG8806 CG8843 CG8874 CG8930 CG8985 CG9012 CG9023 CG9113 CG9138 CG9211 CG9214 CG9326 CG9335 CG9361 CG9369 CG9388 CG9424 CG9428 CG9430 CG9491 CG9543 CG9623 CG9635 CG9637 CG9703 CG9704 CG9712 CG9739 CG9746 CG9749 CG9764 CG9880 CG9918
GO:0044427	chromosomal part	CG10042 CG10159 CG10198 CG10212 CG10279 CG10296 CG10385 CG10583 CG10630 CG10667 CG10683 CG10701 CG1071 CG10712 CG10718 CG10726 CG10851 CG10922 CG10923 CG10955 CG11006 CG1135 CG11397 CG11451 CG11678 CG11680 CG11844 CG11992 CG12165 CG12225 CG12238 CG12265 CG12306 CG12352 CG12372 CG1242 CG12442 CG12749 CG12864 CG13329 CG13363 CG13425 CG13434 CG13550 CG14016 CG14121 CG14220 CG14251 CG14513 CG1453 CG14549 CG1490 CG14938 CG14962 CG14999 CG15119 CG15191 CG15356 CG15415 CG15481 CG1554 CG1558 CG15636 CG1569 CG15835 CG1584 CG1591 CG15929 CG1619 CG16838 CG16901 CG17136 CG17436 CG1745 CG17498 CG17604 CG17704 CG17743 CG17927 CG1793 CG17958 CG18013 CG18156 CG18271 CG18468 CG18608 CG18729 CG1911 CG1960 CG2072 CG2075 CG2129 CG2158 CG2207 CG2222 CG2503 CG2525 CG2890 CG2917 CG2995 CG30085 CG3018 CG3025 CG3034 CG30401 CG3041 CG31151 CG31212 CG31258 CG3134 CG31658 CG32088 CG32217 CG3240 CG3241 CG32435 CG32443 CG32491 CG32505 CG32711 CG32744 CG33261 CG3354 CG33554 CG33901 CG3423 CG34422 CG34438 CG3480 CG3509 CG3654 CG3733 CG3753 CG3815 CG3848 CG3886 CG3945 CG3962 CG4003 CG4027 CG4029 CG40351 CG40411 CG4088 CG4107 CG4170 CG42350 CG4236 CG42550 CG4264 CG4274 CG4303 CG43286 CG43662 CG43663 CG43664 CG4400 CG44246 CG4453 CG4454 CG4478 CG4479 CG4494 CG4548 CG4654 CG4699 CG4747 CG4840 CG4976 CG5020 CG5083 CG5148 CG5170 CG5179 CG5303 CG5313 CG5442 CG5499 CG5553 CG5595 CG5640 CG5669 CG5748 CG5949 CG5954 CG5965 CG6057 CG6061 CG6121 CG6122 CG6146 CG6219 CG6226 CG6249 CG6251 CG6258 CG6292 CG6297 CG6349 CG6384 CG6386 CG6392 CG6620 CG6677 CG6773 CG6819 CG6874 CG6930 CG6964 CG6990 CG7041 CG7045 CG7046 CG7098 CG7108 CG7229 CG7242 CG7357 CG7379 CG7413 CG7471 CG7507 CG7581 CG7597 CG7626 CG7643 CG7676 CG7726 CG7752 CG7803 CG7833 CG7838 CG7846 CG7869 CG7885 CG7938 CG7940 CG7957 CG8044 CG8068 CG8103 CG8104 CG8118 CG8142 CG8165 CG8171 CG8274 CG8290 CG8295 CG8409 CG8440 CG8445 CG8484 CG8573 CG8580 CG8592 CG8599 CG8601 CG8631 CG8677 CG8787 CG8815 CG8817 CG8887 CG8902 CG9007 CG9045 CG9088 CG9148 CG9187 CG9206 CG9291 CG9351 CG9373 CG9433 CG9594 CG9617 CG9633 CG9745 CG9750 CG9802 CG9883 CG9900 CG9938 CG9983 CG9984 CR31400
GO:0044428	nuclear part	CG10042 CG1007 CG10119 CG10128 CG1017 CG10198 CG10203 CG10206 CG10238 CG10279 CG10281 CG10296 CG10333 CG10377 CG10385 CG10390 CG1041 CG10414 CG10415 CG10418 CG10447 CG10466 CG10473 CG10496 CG1057 CG10572 CG10583 CG1064 CG10667 CG10689 CG10692 CG1071 CG10753 CG10754 CG10825 CG10851 CG10897 CG10907 CG10981 CG10984 CG10997 CG11006 CG1101 CG11030 CG11033 CG11107 CG11115 CG11138 CG11166 CG11188 CG11255 CG11266 CG11274 CG11290 CG11308 CG1135 CG11375 CG11604 CG1163 CG11680 CG11750 CG11808 CG11820 CG11920 CG11985 CG11990 CG11992 CG12031 CG12051 CG12085 CG12124 CG12135 CG12190 CG12205 CG12225 CG12238 CG12250 CG12306 CG12320 CG12323 CG12343 CG12357 CG12359 CG12372 CG1240 CG1244 CG12442 CG1245 CG1249 CG1263 CG12701 CG12749 CG12752 CG12756 CG1276 CG12767 CG12819 CG12864 CG12878 CG12924 CG12938 CG13201 CG13277 CG13281 CG13298 CG13316 CG13329 CG13363 CG13379 CG13387 CG13389 CG13399 CG13400 CG13425 CG13550 CG13597 CG1362 CG13625 CG13688 CG13746 CG13778 CG13892 CG13900 CG14016 CG14023 CG1404 CG1406 CG14207 CG14220 CG14251 CG1435 CG14444 CG14514 CG14549 CG14637 CG14641 CG14648 CG1474 CG14802 CG14884 CG14941 CG15104 CG15191 CG15259 CG15319 CG15356 CG15481 CG1554 CG15634 CG15636 CG15736 CG15747 CG1584 CG1591 CG1609 CG1619 CG1622 CG1639 CG1664 CG16725 CG16747 CG1676 CG1677 CG16788 CG16792 CG16817 CG16865 CG16901 CG16941 CG16975 CG17046 CG17064 CG1710 CG17143 CG17153 CG17170 CG17181 CG17183 CG17187 CG17266 CG17293 CG17342 CG17358 CG17397 CG17436 CG17437 CG17446 CG17454 CG17498 CG17540 CG17603 CG17604 CG1765 CG17689 CG1772 CG17743 CG17764 CG17838 CG17870 CG1793 CG17952 CG1796 CG18005 CG18013 CG18041 CG18271 CG1828 CG18290 CG18316 CG18332 CG18412 CG18426 CG1845 CG18591 CG18608 CG1866 CG18740 CG18780 CG1910 CG1915 CG1957 CG1960 CG1965 CG1966 CG1987 CG2009 CG2021 CG2031 CG2038 CG2050 CG2063 CG2072 CG2075 CG2097 CG2163 CG2210 CG2222 CG2244 CG2261 CG2331 CG2368 CG2503 CG2508 CG2525 CG2530 CG2621 CG2637 CG2685 CG2702 CG2707 CG2807 CG2859 CG2864 CG2910 CG2917 CG2925 CG2931 CG2944 CG2980 CG3000 CG30085 CG30122 CG30176 CG3018 CG3024 CG3025 CG3034 CG30342 CG30390 CG30401 CG3041 CG30417 CG30425 CG30497 CG3058 CG3060 CG3069 CG3075 CG31155 CG31184 CG31196 CG31212 CG31256 CG31258 CG31332 CG3134 CG31352 CG31368 CG3166 CG31671 CG3169 CG31732 CG31762 CG3180 CG31865 CG31866 CG3193 CG31938 CG32062 CG32067 CG32133 CG32211 CG32217 CG3225 CG32343 CG32346 CG3240 CG3241 CG32418 CG32443 CG32562 CG32676 CG32703 CG32721 CG3274 CG3284 CG32904 CG3319 CG3333 CG3354 CG33554 CG3395 CG3423 CG3436 CG34415 CG34422 CG34440 CG3542 CG3576 CG3582 CG3584 CG3605 CG3613 CG3654 CG3658 CG3696 CG3772 CG3780 CG3815 CG3820 CG3836 CG3848 CG3875 CG3883 CG3886 CG3889 CG3891 CG3895 CG3927 CG3931 CG3945 CG3949 CG3983 CG4003 CG4013 CG4021 CG4027 CG4029 CG40351 CG4038 CG40411 CG4043 CG4079 CG4088 CG4107 CG4118 CG4119 CG4152 CG4166 CG4185 CG4204 CG4211 CG4220 CG42303 CG4236 CG42373 CG42515 CG42522 CG4254 CG4258 CG4262 CG4264 CG42724 CG4274 CG42768 CG4291 CG4303 CG43662 CG43663 CG43740 CG4380 CG4399 CG4400 CG44015 CG44154 CG44246 CG44249 CG44255 CG4444 CG4448 CG4449 CG4453 CG4478 CG4494 CG4528 CG45477 CG4579 CG4602 CG4616 CG4621 CG4634 CG4654 CG4673 CG4699 CG4738 CG4785 CG4817 CG4849 CG4877 CG4886 CG4887 CG4913 CG4935 CG4980 CG5010 CG5057 CG5083 CG5118 CG5119 CG5121 CG5148 CG5163 CG5175 CG5179 CG5202 CG5215 CG5216 CG5247 CG5303 CG5316 CG5343 CG5352 CG5358 CG5442 CG5444 CG5451 CG5454 CG5465 CG5505 CG5519 CG5553 CG5581 CG5585 CG5591 CG5595 CG5632 CG5640 CG5641 CG5649 CG5654 CG5732 CG5738 CG5771 CG5784 CG5803 CG5808 CG5836 CG5874 CG5877 CG5920 CG5930 CG5931 CG5935 CG5942 CG5949 CG5994 CG6015 CG6033 CG6046 CG6066 CG6084 CG6121 CG6122 CG6137 CG6143 CG6146 CG6179 CG6197 CG6209 CG6219 CG6222 CG6241 CG6249 CG6251 CG6292 CG6297 CG6322 CG6340 CG6349 CG6363 CG6375 CG6376 CG6386 CG6413 CG6444 CG6474 CG6501 CG6502 CG6506 CG6538 CG6539 CG6546 CG6575 CG6577 CG6584 CG6620 CG6632 CG6677 CG6686 CG6711 CG6743 CG6755 CG6773 CG6779 CG6783 CG6814 CG6819 CG6841 CG6850 CG6876 CG6884 CG6905 CG6932 CG6939 CG6944 CG6988 CG6995 CG7028 CG7035 CG7055 CG7098 CG7108 CG7109 CG7111 CG7128 CG7162 CG7229 CG7238 CG7281 CG7288 CG7292 CG7351 CG7379 CG7380 CG7405 CG7413 CG7421 CG7467 CG7471 CG7483 CG7564 CG7581 CG7583 CG7597 CG7614 CG7622 CG7626 CG7643 CG7676 CG7697 CG7698 CG7704 CG7719 CG7726 CG7747 CG7757 CG7764 CG7776 CG7833 CG7843 CG7846 CG7869 CG7885 CG7897 CG7917 CG7935 CG7939 CG7940 CG7957 CG7971 CG7989 CG7993 CG7999 CG8013 CG8019 CG8025 CG8044 CG8053 CG8068 CG8079 CG8104 CG8114 CG8151 CG8208 CG8229 CG8233 CG8241 CG8264 CG8274 CG8332 CG8363 CG8383 CG8395 CG8409 CG8411 CG8427 CG8445 CG8472 CG8484 CG8491 CG8522 CG8552 CG8580 CG8592 CG8597 CG8601 CG8609 CG8610 CG8614 CG8616 CG8625 CG8631 CG8651 CG8677 CG8710 CG8722 CG8725 CG8749 CG8781 CG8787 CG8801 CG8815 CG8817 CG8833 CG8857 CG8877 CG8900 CG8922 CG8980 CG8994 CG9045 CG9088 CG9187 CG9198 CG9200 CG9207 CG9218 CG9226 CG9291 CG9293 CG9305 CG9373 CG9383 CG9388 CG9397 CG9401 CG9412 CG9424 CG9433 CG9473 CG9548 CG9556 CG9597 CG9633 CG9638 CG9660 CG9667 CG9684 CG9696 CG9703 CG9742 CG9750 CG9755 CG9793 CG9809 CG9862 CG9866 CG9874 CG9883 CG9888 CG9894 CG9936 CG9984 CG9998 CR31400 CR31850 CR31854 CR32665 CR32777 CR32863 CR32878 CR32882 CR32913 CR33504 CR33682 CR33716 CR33726 CR33788 CR34151 CR34562 CR34563 CR34564 CR34565 CR42804 CR42805 CR43567 CR43569 CR43570 CR43571 CR43572 CR43586 CR43589 CR43592 CR43594 CR43600 CR43601 CR43602
GO:0044429	mitochondrial part	CG12101 CG15896 CG16944 CG1715 CG2789 CG3249 CG33134 CG33650 CG33718 CG34063 CG3461 CG3971 CG4319 CG4337 CG4460 CG4568 CG4963 CG5190 CG5582 CG6072 CG6439 CG7113 CG7224 CG7263 CG8256 CG8330 CG8443 CG8464 CG8806 CG8987 CG9181 CG9393 CG9741
GO:0044430	cytoskeletal part	CG10061 CG10119 CG10229 CG10249 CG10346 CG10522 CG10540 CG10695 CG10701 CG10712 CG10751 CG10923 CG10988 CG1106 CG11120 CG11175 CG11207 CG11242 CG11533 CG1193 CG12047 CG12165 CG12249 CG12265 CG12298 CG12306 CG12363 CG1242 CG1258 CG12819 CG12876 CG13162 CG13415 CG13852 CG13879 CG14025 CG1403 CG1404 CG14127 CG14217 CG1453 CG14617 CG14622 CG14781 CG1480 CG1483 CG14962 CG1501 CG15415 CG15524 CG1569 CG15792 CG1625 CG16969 CG17009 CG17064 CG1708 CG17081 CG17158 CG17256 CG17286 CG17291 CG17295 CG17342 CG17484 CG17498 CG17566 CG1763 CG17769 CG18000 CG18076 CG18102 CG1825 CG18729 CG1913 CG1915 CG1938 CG1962 CG2092 CG2146 CG2210 CG2530 CG2621 CG2919 CG3000 CG30084 CG30152 CG31196 CG31363 CG31374 CG3157 CG31732 CG3201 CG32018 CG3219 CG32435 CG32505 CG3265 CG3273 CG33130 CG3326 CG33957 CG3401 CG3423 CG34379 CG34387 CG3510 CG3595 CG3637 CG3917 CG3980 CG4173 CG4274 CG4454 CG45058 CG4527 CG45785 CG45786 CG4832 CG4840 CG4898 CG4965 CG5000 CG5020 CG5596 CG5688 CG5690 CG5695 CG5725 CG5977 CG6129 CG6193 CG6384 CG6620 CG6631 CG6875 CG6944 CG6945 CG6948 CG6976 CG6998 CG7051 CG7107 CG7109 CG7186 CG7293 CG7337 CG7445 CG7507 CG7595 CG7643 CG7765 CG7831 CG8104 CG8183 CG8262 CG8274 CG8308 CG8309 CG8432 CG8440 CG8443 CG8472 CG8474 CG8566 CG8590 CG8705 CG9028 CG9191 CG9201 CG9206 CG9252 CG9617 CG9635 CG9660 CG9703 CG9765 CG9900
GO:0044431	Golgi apparatus part	CG10580 CG10703 CG10986 CG11061 CG1107 CG11098 CG1250 CG12532 CG13431 CG14040 CG1422 CG14447 CG14511 CG14971 CG1528 CG1569 CG17184 CG1968 CG2478 CG2675 CG2929 CG3002 CG30463 CG31040 CG31072 CG32136 CG32220 CG3248 CG33206 CG33214 CG3493 CG3532 CG3766 CG3874 CG42250 CG4237 CG4840 CG4848 CG4925 CG4996 CG5483 CG5771 CG5864 CG6025 CG6177 CG6210 CG6437 CG6450 CG6488 CG6549 CG6699 CG6869 CG7197 CG7371 CG7456 CG7578 CG7809 CG7853 CG7921 CG7961 CG8110 CG8266 CG8339 CG8385 CG8487 CG8538 CG8708 CG9012 CG9053 CG9100 CG9113 CG9388 CG9543 CG9590 CG9620 CG9850 CG9900 CG9994
GO:0044432	endoplasmic reticulum part	CG10449 CG10882 CG10978 CG11098 CG11958 CG1250 CG15078 CG15618 CG2212 CG2245 CG2522 CG30404 CG30498 CG31152 CG32380 CG32654 CG32703 CG33304 CG3725 CG3966 CG42508 CG4385 CG4468 CG4550 CG5802 CG5855 CG5962 CG6210 CG6437 CG6549 CG6668 CG7073 CG8266 CG8522 CG8669 CG9867
GO:0044433	cytoplasmic vesicle part	CG11212 CG3766 CG4260 CG44402 CG4996 CG5864 CG6056 CG6151 CG6210 CG6699 CG6948 CG7057 CG7371 CG7961 CG8394 CG9113 CG9388 CG9474 CG9543
GO:0044437	vacuolar part	CG17943 CG32484 CG4225 CG4966 CG5373 CG5483 CG7452 CG7891 CG8743
GO:0044440	endosomal part	CG1115 CG11621 CG12770 CG17943 CG2093 CG2903 CG2929 CG43194 CG4764 CG4966 CG5483 CG5915 CG6210 CG7192 CG8428 CG8743 CG9138 CG9712
GO:0044441	ciliary part	CG10426 CG10751 CG11201 CG12214 CG1258 CG13162 CG13415 CG13889 CG14127 CG14870 CG1501 CG15148 CG15730 CG1625 CG17081 CG1980 CG2919 CG42730 CG42731 CG43370 CG45785 CG45786 CG6129 CG6631 CG6652 CG7051
